0,1,0.00,322.36,116.47,581.35,0.825,1,1
0,2,251.22,455.98,103.85,250.44,0.666,1,1
0,3,1290.79,462.20,69.45,193.60,0.662,1,1
0,4,116.06,503.86,89.36,244.39,0.646,1,1
0,5,1254.15,535.66,51.93,121.88,0.612,1,1
0,6,1689.94,392.70,126.12,335.74,0.499,1,1
0,7,1771.05,417.41,104.49,303.95,0.415,1,1
0,8,1884.27,386.22,35.25,196.07,0.397,1,1
0,9,1694.97,398.74,176.43,327.56,0.378,1,1
0,10,1418.35,525.79,75.56,109.61,0.358,56,1
1,1,1.00,310.19,118.92,593.34,0.853,1,1
1,2,258.27,457.41,102.11,246.66,0.691,1,1
1,3,1293.37,461.37,70.04,195.46,0.674,1,1
1,4,113.79,510.40,86.97,238.15,0.640,1,1
1,5,1259.35,537.96,50.69,118.72,0.562,1,1
1,6,1683.09,392.72,126.11,336.51,0.649,1,1
1,7,1773.38,436.03,99.79,290.16,0.564,1,1
1,8,1881.60,382.56,36.56,202.99,0.508,1,1
1,10,1417.56,525.26,75.98,110.21,0.356,56,1
2,1,2.77,299.43,121.02,602.84,0.868,1,1
2,2,262.50,458.62,100.60,243.76,0.693,1,1
2,3,1294.26,461.81,70.06,195.96,0.608,1,1
2,4,111.79,504.07,89.06,243.90,0.643,1,1
2,5,1260.70,534.55,51.86,121.44,0.485,1,1
2,6,1688.49,390.62,127.71,340.07,0.538,1,1
2,7,1772.01,435.27,98.82,286.96,0.418,1,1
2,8,1880.38,380.34,37.28,206.39,0.523,1,1
2,10,1417.44,525.26,76.05,110.29,0.367,56,1
2,9,1711.25,405.82,173.18,323.00,0.336,1,1
3,1,3.21,280.05,125.43,623.63,0.876,1,1
3,2,262.48,460.31,100.03,242.93,0.709,1,1
3,3,1295.12,462.48,69.34,194.76,0.607,1,1
3,4,112.13,495.79,91.97,252.06,0.674,1,1
3,5,1260.01,531.01,53.25,124.99,0.445,1,1
3,8,1879.62,376.27,38.12,210.37,0.517,1,1
3,10,1417.44,525.27,76.10,110.37,0.348,56,1
