0,1,0.00,322.36,116.47,581.35,0.825,1,1
0,2,251.22,455.98,103.85,250.44,0.666,1,1
0,3,1290.79,462.20,69.45,193.60,0.662,1,1
0,4,116.06,503.86,89.36,244.39,0.646,1,1
0,5,1254.15,535.66,51.93,121.88,0.612,1,1
0,6,1689.94,392.70,126.12,335.74,0.499,1,1
0,7,1771.05,417.41,104.49,303.95,0.415,1,1
0,8,1884.27,386.22,35.25,196.07,0.397,1,1
0,9,1694.97,398.74,176.43,327.56,0.378,1,1
0,10,1418.35,525.79,75.56,109.61,0.358,56,1
1,1,0.06,310.21,120.93,593.31,0.853,1,1
1,2,262.02,457.42,94.71,246.65,0.691,1,1
1,3,1295.04,461.37,66.68,195.45,0.674,1,1
1,4,116.17,510.40,82.33,238.14,0.640,1,1
1,5,1257.06,537.95,55.26,118.71,0.562,1,1
1,6,1689.41,392.72,113.41,336.49,0.649,1,1
1,7,1772.53,436.02,101.42,290.15,0.564,1,1
1,8,1880.24,382.55,39.21,202.98,0.508,1,1
1,10,1417.42,525.25,76.24,110.20,0.356,56,1
2,1,0.10,299.47,126.52,602.79,0.868,1,1
2,2,267.68,458.64,90.48,243.74,0.693,1,1
2,3,1296.74,461.80,65.09,195.94,0.608,1,1
2,4,112.52,504.08,87.73,243.88,0.643,1,1
2,5,1259.89,534.55,53.41,121.43,0.485,1,1
2,6,1686.70,390.61,131.92,340.04,0.538,1,1
2,7,1770.00,435.26,102.79,286.94,0.418,1,1
2,8,1878.54,380.33,40.87,206.37,0.523,1,1
2,10,1417.28,525.25,76.34,110.28,0.367,56,1
2,9,1723.54,405.82,148.55,322.98,0.336,1,1
3,1,0.09,280.07,131.79,623.59,0.876,1,1
3,2,266.09,460.31,92.81,242.92,0.709,1,1
3,3,1298.68,462.47,62.22,194.75,0.607,1,1
3,4,112.91,495.79,90.50,252.05,0.674,1,1
3,5,1261.12,531.00,50.96,124.98,0.445,1,1
3,6,1686.47,390.61,171.23,339.95,0.633,1,1
3,8,1877.85,376.26,41.57,210.36,0.517,1,1
