0,0.43,341.41,118.31,903.31,0.8416,0
0,1700.28,390.98,1859.77,728.71,0.8392,0
0,256.34,458.55,355.11,701.81,0.7639,0
0,122.39,505.99,210.04,743.46,0.6909,0
0,1286.31,463.00,1357.64,657.40,0.6542,0
0,1255.53,536.76,1314.93,656.35,0.6397,0
0,1885.74,388.68,1919.31,576.58,0.6121,0
0,1154.39,348.51,1361.04,625.55,0.5217,62
0,45.70,494.27,116.65,748.37,0.3870,0
1,1691.20,391.07,1853.09,729.70,0.8510,0
1,0.38,329.44,121.64,903.92,0.8467,0
1,267.06,458.05,355.17,702.41,0.7486,0
1,1880.04,384.10,1919.45,579.51,0.6531,0
1,121.15,503.61,206.83,744.08,0.6530,0
1,1260.17,538.57,1315.86,657.22,0.6157,0
1,1154.63,348.43,1359.79,626.91,0.5651,62
1,1293.86,460.97,1353.32,658.33,0.5275,0
1,1783.58,464.09,1874.28,575.61,0.3455,26
1,1336.21,507.54,1368.41,567.06,0.3082,24
2,0.33,316.13,123.62,904.04,0.8564,0
2,1685.15,392.18,1849.97,730.39,0.8322,0
2,268.38,457.97,356.05,702.24,0.7531,0
2,118.47,504.75,207.40,743.10,0.6853,0
2,1877.64,382.84,1919.49,580.56,0.6799,0
2,1294.26,461.06,1356.20,659.05,0.6249,0
2,1260.80,541.29,1315.02,658.00,0.6220,0
2,1154.73,348.44,1359.83,627.76,0.5733,62
3,0.38,276.33,126.66,904.01,0.8514,0
3,1687.10,391.02,1846.77,730.20,0.8347,0
3,264.37,458.01,356.13,704.66,0.7628,0
3,119.83,506.37,207.51,743.18,0.7132,0
3,1878.03,380.84,1919.54,578.72,0.6658,0
3,1297.73,461.62,1356.81,659.57,0.6291,0
3,1262.77,537.93,1315.32,658.76,0.6153,0
3,1155.00,348.69,1357.47,623.49,0.5355,62
3,1782.77,469.63,1871.94,574.40,0.4235,26
4,0.49,245.26,133.51,904.50,0.8839,0
4,1689.99,391.11,1838.16,734.42,0.8176,0
4,266.59,456.97,356.85,704.71,0.7536,0
4,1268.29,537.50,1315.09,659.11,0.6602,0
4,1878.42,377.72,1919.56,578.75,0.6590,0
4,120.96,509.37,208.77,744.28,0.6505,0
4,1300.93,462.40,1359.55,658.77,0.6292,0
4,1155.54,348.73,1356.81,624.33,0.5039,62
4,1777.65,470.38,1870.68,575.94,0.4271,26
5,0.47,240.11,139.54,904.85,0.8887,0
5,1689.08,391.36,1832.36,735.75,0.8056,0
5,267.24,457.18,357.71,703.20,0.7558,0
5,1271.69,540.13,1315.13,658.82,0.6663,0
5,1875.90,371.94,1919.65,578.81,0.6630,0
5,122.84,509.46,203.05,744.01,0.6428,0
5,1299.03,466.74,1359.90,657.17,0.6073,0
5,1155.15,348.67,1356.45,623.44,0.3867,62
5,1776.66,472.96,1870.33,576.07,0.3761,26
6,0.47,234.27,151.48,905.64,0.9003,0
6,1689.75,391.36,1835.00,736.78,0.8199,0
6,1872.76,370.79,1919.62,581.12,0.7108,0
6,278.60,456.21,358.71,701.98,0.6821,0
6,122.53,515.42,200.69,743.72,0.6411,0
6,1276.51,540.91,1315.61,660.12,0.6106,0
6,1300.95,460.70,1364.89,659.52,0.5788,0
6,1155.15,348.84,1355.75,623.28,0.4711,62
7,0.47,230.78,166.18,905.94,0.9154,0
7,1690.76,392.45,1843.10,737.99,0.8304,0
7,275.92,456.26,359.03,703.68,0.7180,0
7,1872.91,372.25,1919.62,583.28,0.6864,0
7,124.11,518.68,201.76,743.83,0.6156,0
7,1302.82,459.50,1379.05,660.44,0.5829,0
7,1279.14,539.65,1315.26,659.83,0.5606,0
7,1155.14,348.72,1354.78,625.94,0.5007,62
7,1763.56,470.75,1860.66,585.75,0.3093,26
8,0.48,228.44,170.10,905.88,0.9223,0
